"condition","pc_prag","g_implied","marker","n","mean_goal","mean_adoption","goal_low","goal_high","adoption_low","adoption_high"
"Prag. Controversy: low
Goal: low","low","low","soviel ich weiß",98,62.6224489795918,55.0102040816327,58.3364534007749,67.0413110698825,50.429,59.2796118951613
"Prag. Controversy: low
Goal: low","low","low","ja",62,72.2903225806452,60.8225806451613,67.7660483870968,76.6876853813559,54.7189628482972,67.0334677419355
"Prag. Controversy: low
Goal: high","low","high","bekanntlich",160,72.95625,57.29375,69.53734375,76.40015625,53.036875,61.50015625
"Prag. Controversy: high
Goal: low","high","low","soviel ich weiß",61,59.4918032786885,45.8196721311475,53.7631818181818,65.321867433414,39.386741388737,52.6096168154762
"Prag. Controversy: high
Goal: low","high","low","ja",99,73.6868686868687,56.0808080808081,70.5641650505257,76.8959622524752,51.3132352941176,61.0959283834174
"Prag. Controversy: high
Goal: high","high","high","soviel ich weiß",44,56.4545454545455,55.5454545454545,49.7353099730458,62.7021881044487,48.5609756097561,62.3816326530612
"Prag. Controversy: high
Goal: high","high","high","ja",55,75.9636363636364,53.8909090909091,71.6034751636504,80.5095215311005,47.3994262295082,60.1526964882943
"Prag. Controversy: high
Goal: high","high","high","bekanntlich",61,70.4426229508197,51.6885245901639,65.3381967213115,75.5762711864407,44.7906487434249,58.151328125
