"outcome","contrast","mean","lower","upper","p_gt_0","p_lt_0"
"Inferred goal strength","ja_vs_soviel_low",7.27795132308796,0.828454281938857,13.5467461640489,0.987666666666667,0.0123333333333333
"Inferred goal strength","bek_vs_soviel_low",8.71904088731517,4.36024809754698,13.1811613761537,0.999833333333333,0.000166666666666667
"Inferred goal strength","bek_vs_ja_low",1.44108956422721,-3.47024655095878,6.53240016689425,0.7085,0.2915
"Inferred goal strength","ja_vs_soviel_high",13.2887247630567,7.8426241701191,18.9112588071165,1,0
"Inferred goal strength","bek_vs_soviel_high",10.7134853666329,3.7991452772079,17.305345060266,0.998166666666667,0.00183333333333333
"Inferred goal strength","bek_vs_ja_high",-2.57523939642379,-7.64794541761228,2.15043781133478,0.15,0.85
"Inferred goal strength","bek_vs_soviel_overall",9.71626312697405,5.1706207687991,14.1039718305447,1,0
"Inferred goal strength","credibility_discount",1.99444447931775,-5.44908468976017,9.30346003947742,0.706,0.294
"Inferred goal strength","pc_prag_effect",-0.774358027374096,-3.50484658465906,1.89679320601239,0.289833333333333,0.710166666666667
"Adoption likelihood","ja_vs_soviel_low",13.6221381132991,4.56307232201003,22.5353598231151,0.998333333333333,0.00166666666666667
"Adoption likelihood","bek_vs_soviel_low",4.82938799471307,-1.37257886938237,11.2845835180057,0.935166666666667,0.0648333333333333
"Adoption likelihood","bek_vs_ja_low",-8.79275011858601,-16.0829194614804,-1.18628964232831,0.0135,0.9865
"Adoption likelihood","ja_vs_soviel_high",6.43858516278075,-1.45663152519699,14.2053463471995,0.943833333333333,0.0561666666666667
"Adoption likelihood","bek_vs_soviel_high",3.5650425329296,-6.35118940194585,13.2590807128822,0.7585,0.2415
"Adoption likelihood","bek_vs_ja_high",-2.87354262985115,-10.5029219653438,4.50231369179391,0.233333333333333,0.766666666666667
"Adoption likelihood","bek_vs_soviel_overall",4.19721526382134,-2.17060621312468,10.5400133401742,0.899833333333333,0.100166666666667
"Adoption likelihood","credibility_discount",-1.26434546178347,-11.7478610633804,9.275157558348,0.405,0.595
"Adoption likelihood","pc_prag_effect",-7.54351508337735,-11.4719641818705,-3.6512557252543,0,1
