"section","hypothesis","outcome","label","estimate","interval","support"
"Model coefficient","H4","Inferred goal strength","Goal model: ja vs soviel coefficient",0.486,"[0.261, 0.710]","P(>0)=1.000"
"Model coefficient","H4","Inferred goal strength","Goal model: bekanntlich vs soviel coefficient",0.456,"[0.246, 0.661]","P(>0)=1.000"
"Model coefficient","H6","Inferred goal strength","Goal model: ja × pragmatic controversy interaction",0.282,"[-0.049, 0.615]","P(>0)=0.953"
"Model coefficient","H5","Adoption likelihood","Adoption model: ja vs soviel coefficient",0.416,"[0.135, 0.697]","P(>0)=0.998"
"Model coefficient","H5","Adoption likelihood","Adoption model: bekanntlich vs soviel coefficient",0.17,"[-0.087, 0.425]","P(>0)=0.901"
"Model coefficient","H6","Adoption likelihood","Adoption model: ja × pragmatic controversy interaction",-0.313,"[-0.752, 0.112]","P(<0)=0.925"
"Posterior contrast","H4","Inferred goal strength","Goal contrast: ja − soviel at low pragmatic controversy",7.28,"[0.83, 13.55]","P(>0)=0.988"
"Posterior contrast","H4","Inferred goal strength","Goal contrast: bekanntlich − soviel at low pragmatic controversy",8.72,"[4.36, 13.18]","P(>0)=1.000"
"Posterior contrast","H4","Inferred goal strength","Goal contrast: ja − soviel at high pragmatic controversy",13.29,"[7.84, 18.91]","P(>0)=1.000"
"Posterior contrast","H4","Inferred goal strength","Goal contrast: bekanntlich − soviel at high pragmatic controversy",10.71,"[3.80, 17.31]","P(>0)=0.998"
"Posterior contrast","H5","Adoption likelihood","Adoption contrast: ja − soviel at low pragmatic controversy",13.62,"[4.56, 22.54]","P(>0)=0.998"
"Posterior contrast","H5","Adoption likelihood","Adoption contrast: bekanntlich − ja at low pragmatic controversy",-8.79,"[-16.08, -1.19]","P(<0)=0.987"
"Posterior contrast","H5","Adoption likelihood","Adoption contrast: ja − soviel at high pragmatic controversy",6.44,"[-1.46, 14.21]","P(>0)=0.944"
"Posterior contrast","H6","Adoption likelihood","Adoption contrast: credibility discount",-1.26,"[-11.75, 9.28]","P(<0)=0.595"
"Posterior contrast","H6","Adoption likelihood","Adoption contrast: pragmatic controversy main effect",-7.54,"[-11.47, -3.65]","P(<0)=1.000"
