"contrast","predicted_direction","mean","median","conf.low","conf.high","p_gt_0","p_lt_0"
"g effect at low pc_prag (H1 slice)","> 0",0.275935843509024,0.27667289246951,0.111829733156564,0.44179812779798,0.999625,0.000375
"g effect at high pc_prag (H1 slice)","> 0",0.0568567493926319,0.0567317538401457,-0.109513331094831,0.229666251478446,0.742375,0.257625
"pc_prag effect at low g (H2 slice)","< 0",0.0520452845267461,0.050951421348812,-0.122188028264113,0.228037583655208,0.724125,0.275875
"pc_prag effect at high g (H2 slice)","< 0",-0.167033809589646,-0.167798616808412,-0.330750279346618,-0.00482817430993009,0.02175,0.97825
"difference in g effect between high and low pc_prag (H3)","< 0",-0.219079094116392,-0.218920578412337,-0.455942701667019,0.0183928417615392,0.034375,0.965625
"pairwise: low/low - low/high","< 0",-0.275935843509024,-0.27667289246951,-0.44179812779798,-0.111829733156564,0.000375,0.999625
"pairwise: low/low - high/low",NA,-0.0520452845267461,-0.050951421348812,-0.228037583655208,0.122188028264113,0.275875,0.724125
"pairwise: low/low - high/high","< 0",-0.108902033919378,-0.107850355350782,-0.28202042136158,0.0620474939427241,0.10325,0.89675
"pairwise: low/high - high/low",NA,0.223890558982278,0.223747941578056,0.060719144187821,0.385722135214076,0.99575,0.00425
"pairwise: low/high - high/high","< 0",0.167033809589646,0.167798616808412,0.00482817430993004,0.330750279346618,0.97825,0.02175
"pairwise: high/low - high/high","< 0",-0.0568567493926319,-0.0567317538401457,-0.229666251478446,0.109513331094831,0.257625,0.742375
