"source","label","predicted_direction","estimate","ci_low","ci_high","p_gt_0","p_lt_0"
"brms_contrast","g effect at low pc_prag (H1 slice)","> 0",0.276,0.112,0.442,0.9996,4e-04
"brms_contrast","g effect at high pc_prag (H1 slice)","> 0",0.057,-0.11,0.23,0.7424,0.2576
"brms_contrast","pc_prag effect at low g (H2 slice)","< 0",0.052,-0.122,0.228,0.7241,0.2759
"brms_contrast","pc_prag effect at high g (H2 slice)","< 0",-0.167,-0.331,-0.005,0.0217,0.9782
"brms_contrast","difference in g effect between high and low pc_prag (H3)","< 0",-0.219,-0.456,0.018,0.0344,0.9656
"brms_contrast","pairwise: low/low - low/high","< 0",-0.276,-0.442,-0.112,4e-04,0.9996
"brms_contrast","pairwise: low/low - high/low","",-0.052,-0.228,0.122,0.2759,0.7241
"brms_contrast","pairwise: low/low - high/high","< 0",-0.109,-0.282,0.062,0.1032,0.8968
"brms_contrast","pairwise: low/high - high/low","",0.224,0.061,0.386,0.9958,0.0043
"brms_contrast","pairwise: low/high - high/high","< 0",0.167,0.005,0.331,0.9782,0.0217
"brms_contrast","pairwise: high/low - high/high","< 0",-0.057,-0.23,0.11,0.2576,0.7424
"brms_condition","low/low","",2.106,1.981,2.228,NA,NA
"brms_condition","low/high","",2.382,2.266,2.495,NA,NA
"brms_condition","high/low","",2.158,2.029,2.278,NA,NA
"brms_condition","high/high","",2.215,2.089,2.337,NA,NA
"rsa_parameter","w_pc","",0.406,0.152,1.113,NA,NA
"rsa_parameter","w_g","",0.247,0.121,0.501,NA,NA
"rsa_parameter","w_int","",0.617,0.244,1.572,NA,NA
"rsa_parameter","pc_prag_low","",0.552,0.27,0.807,NA,NA
"rsa_parameter","threshold_soviel","",-1.278,-1.965,-0.618,NA,NA
"rsa_parameter","threshold_ja","",-0.503,-0.755,-0.049,NA,NA
"rsa_parameter","threshold_bekanntlich","",-0.002,-0.175,0.52,NA,NA
"rsa_parameter","sigma","",0.41,0.19,0.902,NA,NA
"rsa_parameter","cost_ja","",0.563,0.164,1.918,NA,NA
"rsa_parameter","cost_bekanntlich","",0.456,0.139,1.522,NA,NA
